year_month,year,month_number,total_print_run,n_leaflets,mean_print_run,median_print_run,min_print_run,max_print_run,std_print_run,Q1,Q3,IQR,n_outliers,outliers,change_from_prev_month,pct_change_from_prev_month,cumulative_year,cumulative_total
1934-01,1934,1,32700,12,2725.0,1250.0,200,10000,2679.9,1000,3500,2500,1,[10000],0,0,32700,32700
1934-02,1934,2,21400,11,1945.5,1000.0,200,6000,1743.7,1000,3000,2000,0,[],-11300,-34.6,54100,54100
1934-03,1934,3,17500,8,2187.5,1000.0,1000,5000,1579.9,1000,3625,2625,0,[],-3900,-18.2,71600,71600
1934-04,1934,4,42400,16,2650.0,1000.0,100,10000,3104.8,1000,3000,2000,2,"[10000, 10000]",24900,142.3,114000,114000
1934-05,1934,5,42700,21,2033.3,1000.0,200,10000,2132.1,1000,2000,1000,3,"[10000, 5000, 4000]",300,0.7,156700,156700
1934-06,1934,6,5550,6,925.0,1000.0,250,2000,580.1,475,1000,525,1,[2000],-37150,-87.0,162250,162250
1934-07,1934,7,38100,20,1905.0,1000.0,100,5000,1331.0,1000,3000,2000,0,[],32550,586.5,200350,200350
1934-08,1934,8,19050,12,1587.5,1000.0,50,4000,1031.2,1000,2000,1000,1,[4000],-19050,-50.0,219400,219400
1934-09,1934,9,18750,11,1704.5,1000.0,100,10000,2677.2,500,1250,750,1,[10000],-300,-1.6,238150,238150
1934-10,1934,10,26130,17,1537.1,1000.0,30,6000,1586.1,500,2000,1500,2,"[6000, 5000]",7380,39.4,264280,264280
1934-11,1934,11,46000,13,3538.5,3000.0,1000,10000,2405.6,2000,5000,3000,1,[10000],19870,76.0,310280,310280
1934-12,1934,12,21770,11,1979.1,1500.0,70,10000,2674.6,550,1750,1200,1,[10000],-24230,-52.7,332050,332050
1935-01,1935,1,30850,16,1928.1,1500.0,100,5000,1664.7,500,2250,1750,3,"[5000, 5000, 5000]",9080,41.7,30850,362900
1935-02,1935,2,51850,21,2469.0,1000.0,50,10000,2441.7,1000,4000,3000,1,[10000],21000,68.1,82700,414750
1935-03,1935,3,38600,16,2412.5,2000.0,300,5000,1552.4,1375,3250,1875,0,[],-13250,-25.6,121300,453350
1935-04,1935,4,72100,16,4506.2,4000.0,100,15000,4745.3,725,5000,4275,2,"[15000, 15000]",33500,86.8,193400,525450
1935-05,1935,5,69900,20,3495.0,3500.0,400,10000,2570.1,1000,5250,4250,0,[],-2200,-3.1,263300,595350
1935-06,1935,6,7700,4,1925.0,2000.0,700,3000,816.6,1675,2250,575,1,[700],-62200,-89.0,271000,603050
1935-07,1935,7,27800,9,3088.9,3000.0,800,6000,2048.5,1000,5000,4000,0,[],20100,261.0,298800,630850
1935-08,1935,8,6000,4,1500.0,1250.0,1000,2500,612.4,1000,1750,750,0,[],-21800,-78.4,304800,636850
1935-09,1935,9,16000,3,5333.3,5000.0,3000,8000,2054.8,4000,6500,2500,0,[],10000,166.7,320800,652850
1935-10,1935,10,51500,10,5150.0,4000.0,1000,10000,3391.5,3125,8750,5625,0,[],35500,221.9,372300,704350
1935-11,1935,11,17000,4,4250.0,4500.0,2000,6000,1479.0,3500,5250,1750,0,[],-34500,-67.0,389300,721350
1935-12,1935,12,4000,1,4000.0,4000.0,4000,4000,0.0,4000,4000,0,0,[],-13000,-76.5,393300,725350
1936-02,1936,2,10000,4,2500.0,2500.0,1000,4000,1118.0,1750,3250,1500,0,[],6000,150.0,10000,735350
1936-03,1936,3,5000,3,1666.7,1000.0,1000,3000,942.8,1000,2000,1000,0,[],-5000,-50.0,15000,740350
1936-04,1936,4,79000,14,5642.9,5000.0,1000,10000,2942.5,4000,8750,4750,0,[],74000,1480.0,94000,819350
1936-05,1936,5,32000,6,5333.3,5000.0,1000,10000,3036.8,3250,7500,4250,0,[],-47000,-59.5,126000,851350
1936-06,1936,6,21000,3,7000.0,6000.0,3000,12000,3741.7,4500,9000,4500,0,[],-11000,-34.4,147000,872350
1936-07,1936,7,24000,4,6000.0,5500.0,3000,10000,2549.5,4500,7000,2500,0,[],3000,14.3,171000,896350
1936-08,1936,8,2000,1,2000.0,2000.0,2000,2000,0.0,2000,2000,0,0,[],-22000,-91.7,173000,898350
1936-09,1936,9,13000,3,4333.3,5000.0,3000,5000,942.8,4000,5000,1000,0,[],11000,550.0,186000,911350
1936-10,1936,10,24000,4,6000.0,5000.0,4000,10000,2345.2,4750,6250,1500,1,[10000],11000,84.6,210000,935350
1936-11,1936,11,31500,6,5250.0,600.0,100,20000,7480.1,200,7750,7550,1,[20000],7500,31.2,241500,966850
